72020,Linea,3417 18th St,San Francisco,CA,94110,,,,14157479261,72020_20181217,2018 Dec 17 12:00:00 AM,,Reinspection/Followup,,,
83394,Golden Gate University Bookstore,536 Mission St,San Francisco,CA,94105,,,,,83394_20190502,2019 May 02 12:00:00 AM,93,Routine - Unscheduled,,,
96634,"ANGLER SF, LLC",132 Embarcadero,San Francisco,CA,94105,,,,,96634_20190508,2019 May 08 12:00:00 AM,,Complaint Reinspection/Followup,,,
90441,SF Hilton Banquet Facilities,333 O'Farrell,San Francisco,CA,,,,,,90441_20170310,2017 Mar 10 12:00:00 AM,,New Ownership,,,
86765,Pho Delicious,1365 Stockton St,San Francisco,CA,94133,,,,,86765_20170210,2017 Feb 10 12:00:00 AM,,Reinspection/Followup,,,
38258,Hong Kong Bakery,4711 MISSION St,San Francisco,CA,94112,37.722898,-122.436086,POINT (-122.436086 37.722898),,38258_20170901,2017 Sep 01 12:00:00 AM,,Reinspection/Followup,,,
74975,Mourad,140 New Montgomery St,San Francisco,CA,,,,,,74975_20180405,2018 Apr 05 12:00:00 AM,,Complaint,,,
2717,GOURMET DIM SUM & CAFE,651 CLEMENT St,San Francisco,CA,94118,37.782823,-122.466359,POINT (-122.466359 37.782823),,2717_20190710,2019 Jul 10 12:00:00 AM,,Reinspection/Followup,,,
5888,Bryant Elementary School,2641 25th St,San Francisco,CA,94110,37.751776,-122.404626,POINT (-122.404626 37.751776),14155695875,5888_20181012,2018 Oct 12 12:00:00 AM,100,Routine - Unscheduled,,,
1989,PRESIDIO GOLF CLUB,8 Presidio Terr,San Francisco,CA,94118,37.788807,-122.460845,POINT (-122.460845 37.788807),14155751322,1989_20170621,2017 Jun 21 12:00:00 AM,,Reinspection/Followup,,,
94739,Rooster & Rice,4039 18th St,San Francisco,CA,94114,,,,,94739_20180627,2018 Jun 27 12:00:00 AM,,Non-inspection site visit,,,
95160,95160 Outtahere Cheese Steak,"24 Willie Mays Pl Upper Cent Fd, Sect 143",San Francisco,CA,94107,,,,,95160_20190719,2019 Jul 19 12:00:00 AM,96,Routine - Unscheduled,95160_20190719_103124,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk
9745,Panda Express,1480 Fillmore St.,San Francisco,CA,94115,37.782808,-122.432577,POINT (-122.432577 37.782808),,9745_20170728,2017 Jul 28 12:00:00 AM,,Complaint,,,
2347,LAS TINAJAS,2338 MISSION St,San Francisco,CA,94110,37.759567,-122.419185,POINT (-122.419185 37.759567),14155699933,2347_20180216,2018 Feb 16 12:00:00 AM,,Reinspection/Followup,,,
80591,L & G Vietnamese Sandwich,602 Eddy St,San Francisco,CA,94109,,,,14155886402,80591_20171213,2017 Dec 13 12:00:00 AM,,Reinspection/Followup,,,
3495,Ryoko's,619 Taylor St,San Francisco,CA,94102,37.788134,-122.411817,POINT (-122.411817 37.788134),,3495_20190711,2019 Jul 11 12:00:00 AM,,Reinspection/Followup,,,
72004,David's Deli & Bistro,474 Geary St,San Francisco,CA,94102,,,,,72004_20171012,2017 Oct 12 12:00:00 AM,,Reinspection/Followup,,,
3237,LAM HOA THUAN RESTAURANT,2337 IRVING St,San Francisco,CA,94122,37.763274,-122.483179,POINT (-122.483179 37.763274),,3237_20170824,2017 Aug 24 12:00:00 AM,,Reinspection/Followup,,,
1970,MICADO  RESTAURANT,2126 IRVING St,San Francisco,CA,94122,37.763468,-122.480646,POINT (-122.480646 37.763468),,1970_20190723,2019 Jul 23 12:00:00 AM,,Reinspection/Followup,,,
101219,North West Bar 500,1 Warriors Way Level 600 North West,San Francisco,CA,94158,,,,,101219_20190819,2019 Aug 19 12:00:00 AM,,New Ownership - Followup,,,
100204,CUIA ACAI & POSITIVE FOOD,1 MARKET ST STE 8,San Francisco,CA,94105,,,,14158609815,100204_20190919,2019 Sep 19 12:00:00 AM,,New Ownership,,,
625,CALIFORNIA TENNIS CLUB,1770 Scott St,San Francisco,CA,94115,37.786463,-122.437657,POINT (-122.437657 37.786463),,625_20190322,2019 Mar 22 12:00:00 AM,,Reinspection/Followup,,,
36205,Anchor & Hope,83 Minna St,San Francisco,CA,94105,37.787877,-122.398872,POINT (-122.398872 37.787877),,36205_20190404,2019 Apr 04 12:00:00 AM,,Reinspection/Followup,,,
94848,Casa De La Condesa Restaurant,2763 Mission St,San Francisco,CA,94110,,,,,94848_20190507,2019 May 07 12:00:00 AM,87,Routine - Unscheduled,94848_20190507_103124,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk
91847,Home Skillet SF,1001 Market St.,San Francisco,CA,94103,,,,,91847_20170830,2017 Aug 30 12:00:00 AM,,New Ownership,,,
84124,Barcha,28 Fremont St,San Francisco,CA,94105,,,,,84124_20190304,2019 Mar 04 12:00:00 AM,,Reinspection/Followup,,,
94012,Una Mas Mexican Grill,1 Market Pl 23,San Francisco,CA,94105,,,,14158395094,94012_20171220,2017 Dec 20 12:00:00 AM,100,Routine - Unscheduled,,,
13426,Trader Joe's,401 Bay St,San Francisco,CA,94133,37.80557,-122.413626,POINT (-122.413626 37.80557),,13426_20171003,2017 Oct 03 12:00:00 AM,,Complaint,,,
63757,Ajisen Ramen,865 Market St #STC-12,San Francisco,CA,94103,37.784317,-122.407563,POINT (-122.407563 37.784317),,63757_20180111,2018 Jan 11 12:00:00 AM,,Reinspection/Followup,,,
87443,Evil Eye,2937 Mission St,San Francisco,CA,94110,,,,14155813779,87443_20181207,2018 Dec 07 12:00:00 AM,,Reinspection/Followup,,,
85558,Rill's Chimney Cake,Approved Private Locations,San Francisco,CA,94114,,,,,85558_20170719,2017 Jul 19 12:00:00 AM,,Reinspection/Followup,,,
71413,Crepe & Brioche,3251 20th Ave,San Francisco,CA,94132,,,,,71413_20161016,2016 Oct 16 12:00:00 AM,,Reinspection/Followup,,,
66715,Brick and Mortar,1710 Mission St,San Francisco,CA,94103,37.769735,-122.420174,POINT (-122.420174 37.769735),,66715_20181204,2018 Dec 04 12:00:00 AM,,Reinspection/Followup,,,
66992,Mifune Bistro,1581 Webster St #100,San Francisco,CA,94115,37.785227,-122.431472,POINT (-122.431472 37.785227),,66992_20180822,2018 Aug 22 12:00:00 AM,87,Routine - Unscheduled,,,
89799,Lawton Tap Room,3645 Lawton St,San Francisco,CA,94122,,,,14155343465,89799_20170316,2017 Mar 16 12:00:00 AM,,Structural Inspection,,,
97549,SHIHLIN,3251 20TH Ave #250G,San Francisco,CA,94132,,,,14158665894,97549_20190510,2019 May 10 12:00:00 AM,90,Routine - Unscheduled,97549_20190510_103139,Improper food storage,Low Risk
99048,NOOSH,2001 FILLMORE STREET,San Francisco,CA,94115,,,,14153298800,99048_20190403,2019 Apr 03 12:00:00 AM,96,Routine - Unscheduled,99048_20190403_103149,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk
